point_code	grts_ranking	grts_ranking_draw	sac	legacy_site	type	polygon_id	phab	source	is_centroid	measurement_date	valid_sampling_unit	valid_refpoint	valid_type	x_coord	y_coord	select_prob	measured_valid_cycle1	measured_cycle1	selection_step1	source_bwk	jaar_kartering
1_1	103425	1	1	0	2130_hd	581354_v2014	40	assessment/habitatmap 2020	1	18186	1	1	1	55165.6	218574.1	0	1	1	1	049	2004
100_2	12054321	100	1	0	2170	561349_v2018	40	assessment/habitatmap 2020	0	17794	1	1	1	32536.5	203350.6	0	1	1	1	05l	2005
10000881_1	10000881	10000881	0	0	6510_hua	173739_v2020	100	habitatmap 2020	1	NA	NA	NA	NA	40189.591973471	186094.113583292	0.637084901332855	0	0	1	185	2018
10000942_1	10000942	10000942	1	0	7140_oli	625285_v2020	100	habitatmap 2020	1	NA	NA	NA	NA	195613.591973471	225454.113583292	0.697344779968262	0	0	1	148	2014
1000146_1	1000146	1000146	1	0	91E0_vo	410297_v2020	20	habitatmap 2020	1	NA	NA	NA	NA	222077.591973471	193646.113583292	0.877262115478516	0	0	0	189	2018
10004201_1	10004201	10004201	0	0	2330_dw	537755_v2018	60	habitatmap 2020	1	NA	NA	NA	NA	138877.591973471	196494.113583292	0.915856301784515	0	0	0	179	2017
100050_1	100050	100050	1	0	7140_oli	386318_v2020	100	habitatmap 2020	1	NA	NA	NA	NA	224989.591973471	188910.113583292	0.110539838671684	0	0	1	138	2013
10005713_1	10005713	10005713	0	0	6510_hua	156710_v2020	100	habitatmap 2020	1	NA	NA	NA	NA	44349.591973471	185678.113583292	0.109535343945026	0	0	1	185	2018
100118_1	100118	100118	0	0	6510_hu	451376_v2018	100	habitatmap 2020	1	NA	NA	NA	NA	155453.591973471	193102.113583292	0.800281465053558	0	0	1	989	1998
10016502_1	10016502	10016502	1	0	6410_mo	629029_v2020	70	habitatmap 2020	1	NA	NA	NA	NA	189245.591973471	209742.113583292	0.234075739979744	0	0	1	185	2018
100178_1	100178	100178	0	0	9190	645612_v2014	30	habitatmap 2020	1	NA	NA	NA	NA	239581.591973471	194638.113583292	0.998986423015594	0	0	0	047	2004
10018993_1	10018993	10018993	1	0	2130_had	169536_v2020	100	habitatmap 2020	1	NA	NA	NA	NA	24189.591973471	196462.113583292	0.601023256778717	0	0	1	l	NA
