panel;point_code;polygon_id;grts_ranking_draw;sbz;hoofdtype;habitattype;phab;type_meetpunt;uitvoer_opname;datum_opname_cyclus1;x;y;db_ref;recording_givid
1;19510_2;358537_v2020;19510;0;6230;6230_hn;70;bestaand meetpunt;hoofdtype aanwezig;2016-09-08;198481,70;188018,70;19510;"circle: IV2017010616490548; square: IV2017010617551993"
1;23086_1;603754_v2014;23086;1;7140;7140_oli;100;bestaand meetpunt;hoofdtype aanwezig;2016-09-19;194717,60;225518,00;23086;"circle: IV2017012711062779; square: IV2017012711193298"
1;37557_2;456664_v2016;37557;1;1330;1330_hpr;100;bestaand meetpunt;hoofdtype aanwezig;2015-08-11;64359,60;219885,40;37557;"circle: IV2017011215162577; square: IV2017011215184680"
1;58433_2;533727_v2018;58433;1;6230;6230_hn;10;bestaand meetpunt;hoofdtype aanwezig;2016-09-05;76315,40;198871,20;58433;"circle: IV2017012712420281; square: IV2017012713022515"
1;59090_1;409732_v2018;59090;1;6230;6230_ha;10;bestaand meetpunt;hoofdtype aanwezig;2016-08-18;224157,70;189710,20;59090;"circle: IV2017012522043706; square: IV2017012522232265"
1;80822_1;380730_v2020;80822;1;7140;7140_meso;80;nieuw meetpunt;hoofdtype aanwezig;;213981,59;196750,11;;
1;87250_2;421328_v2020;87250;1;6230;6230_hn;20;bestaand meetpunt;hoofdtype aanwezig;2016-09-09;220105,40;196806,70;87250;"circle: IV2017013013060304; square: IV2017013013143717"
1;89810_1;409732_v2018;89810;1;6230;6230_ha;10;bestaand meetpunt;hoofdtype aanwezig;2016-08-18;224349,80;189934,10;89810;"circle: IV2017012613001528; square: IV2017012613170767"
1;100050_1;386318_v2020;100050;1;7140;7140_oli;100;nieuw meetpunt;hoofdtype aanwezig;;224989,59;188910,11;;
1;103094_2;485062_v2018;103094;1;7140;7140_meso;20;bestaand meetpunt;hoofdtype aanwezig;2016-09-15;213355,20;187661,10;103094;"circle: IV2017021515592266; square: IV2017021516075256"
1;115334_1;412468_v2020;115334;1;6230;6230_hn;100;nieuw meetpunt;hoofdtype aanwezig;;172765,59;170254,11;;
1;116950_1;519219_v2018;116950;1;6230;6230_ha;100;bestaand meetpunt;hoofdtype aanwezig;2016-09-06;176893,90;217390,20;116950;"circle: IV2017012013020416; square: IV2017012013095674"
1;141010_1;409732_v2018;141010;1;6230;6230_ha;10;bestaand meetpunt;hoofdtype aanwezig;2016-08-18;223741,60;189870,30;141010;"circle: IV2017012521020429; square: IV2017012521104081"
